pathway,pval,padj,log2err,ES,NES,size,leadingEdge,term,comparison_family,group1,group2,tissue,day,celltype,gs_id,parentTerm,Mtb
GO:0140546,1.198200582487731e-6,0.0041889092363771,0.6435518361507222,0.730832909955822,2.1243910477042287,28,"Cxcl9,Cxcl10,Ass1,Rsad2,Gbp5,Cxcl16,Cfb,Gbp2,Irf7,Ccl9,Wfdc17,C3,Bst2,Ifi204,Rnf19b,B2m,Stat1,H2-T23,Samhd1,Ly6e",defense response to symbiont,mtb,pos,neg,lung,15,AM,GO:0140546,defense response to symbiont,NA
GO:0098542,8.745771308582686e-6,0.01528760824740253,0.5933254763964051,0.6959678959398832,2.06236623632228,32,"Cxcl9,Cxcl10,Ass1,Rsad2,Gbp5,Cxcl16,Cfb,Gbp2,Irf7,Ccl9,Wfdc17,C3,Bst2,Ifi204,Rnf19b,B2m,Stat1,H2-T23,H2-K1,Samhd1,Ly6e",defense response to other organism,mtb,pos,neg,lung,15,AM,GO:0098542,defense response to symbiont,NA
GO:0045087,4.242930702638616e-5,0.04243941936739082,0.557332238758646,0.6995151695149171,2.016845205784507,26,"Cxcl10,Ass1,Rsad2,Gbp5,Cxcl16,Cfb,Gbp2,Irf7,Wfdc17,C3,Bst2,Ifi204,Rnf19b,B2m,Stat1,H2-T23,Samhd1,Ly6e",innate immune response,mtb,pos,neg,lung,15,AM,GO:0045087,defense response to symbiont,NA
GO:0014902,4.855768806337623e-5,0.04243941936739082,0.557332238758646,0.9463080682925332,1.7806877436799626,4,"Cxcl9,Cxcl10,Mmp14",myotube differentiation,mtb,pos,neg,lung,15,AM,GO:0014902,striated muscle cell differentiation,NA
GO:0006955,2.766666225761808e-4,0.08094625917740124,0.49849310876659025,0.615562260619468,1.8484028270820727,39,"Cxcl9,Cxcl10,Ass1,Rsad2,Gbp5,Cxcl16,Cfb,Gbp2,Irf7,Ccl9,Wfdc17,C3,Bst2,Ifi204,Rnf19b,B2m,Stat1,H2-T23,H2-K1,Samhd1,Ly6e,Tcirg1",immune response,mtb,pos,neg,lung,15,AM,GO:0006955,immune response,NA
GO:0006952,4.681394128000874e-4,0.08094625917740124,0.49849310876659025,0.6054311210741249,1.836915237714355,43,"Cxcl9,Cxcl10,Ass1,Rsad2,Gbp5,Cxcl16,Cfb,Gbp2,Irf7,Pla2g7,Ccl9,Wfdc17,C3,Bst2,Ifi204,Rnf19b,B2m,Stat1,H2-T23,H2-K1,Samhd1,Ly6e,Tcirg1",defense response,mtb,pos,neg,lung,15,AM,GO:0006952,defense response,NA
GO:0009605,3.514139338243569e-4,0.08094625917740124,0.49849310876659025,0.5818788004583322,1.78186918848014,51,"Cxcl9,Cxcl10,Mmp14,AA467197,Ass1,Rsad2,Gbp5,Cxcl16,Cfb,Gbp2,Irf7,Pla2g7,Ccl9,Wfdc17,C3,Bst2,Ifi204,Rnf19b,B2m,Stat1,H2-T23,H2-K1,Samhd1,Ly6e,Nrp2",response to external stimulus,mtb,pos,neg,lung,15,AM,GO:0009605,response to external stimulus,NA
GO:0043207,4.400214623539046e-4,0.08094625917740124,0.49849310876659025,0.5861614196633775,1.7773569555748754,44,"Cxcl9,Cxcl10,AA467197,Ass1,Rsad2,Gbp5,Cxcl16,Cfb,Gbp2,Irf7,Ccl9,Wfdc17,C3,Bst2,Ifi204,Rnf19b,B2m,Stat1,H2-T23,H2-K1,Samhd1,Ly6e",response to external biotic stimulus,mtb,pos,neg,lung,15,AM,GO:0043207,defense response to symbiont,NA
GO:0051707,4.400214623539046e-4,0.08094625917740124,0.49849310876659025,0.5861614196633775,1.7773569555748754,44,"Cxcl9,Cxcl10,AA467197,Ass1,Rsad2,Gbp5,Cxcl16,Cfb,Gbp2,Irf7,Ccl9,Wfdc17,C3,Bst2,Ifi204,Rnf19b,B2m,Stat1,H2-T23,H2-K1,Samhd1,Ly6e",response to other organism,mtb,pos,neg,lung,15,AM,GO:0051707,defense response to symbiont,NA
GO:0034767,1.705907772338175e-4,0.08094625917740124,0.5188480777437918,0.95767032779140715,1.6601714988326757,3,"Cxcl9,Cxcl10",positive regulation of monoatomic ion transmembrane transport,mtb,pos,neg,lung,15,AM,GO:0034767,establishment of localization in cell,NA
